OUTPUT:

Vasicek optimized parameters: a = 0.0018759731562042567, b = 2.5811470673215773, sigma = 0.056765551548106426
CIR optimized parameters: a = 0.0018759731562042418, b = 2.581146487427231, sigma = 0.05676555154810597

      Date  Actual_IR  Predicted_IR_Vasicek  Predicted_IR_CIR  Vasicek_volatility  CIR_volatility
2021-05-05       1.59              0.321456          1.736361            1.268544        0.146361
2021-05-06       1.58              0.298136          1.801975            1.281864        0.221975
2021-05-07       1.60              0.290343          1.666228            1.309657        0.066228
2021-05-10       1.63              0.323799          1.518735            1.306201        0.111265
2021-05-11       1.64              0.362145          1.376659            1.277855        0.263341
2021-05-12       1.69              0.374199          1.364420            1.315801        0.325580
2021-05-13       1.66              0.422473          1.402249            1.237527        0.257751
2021-05-14       1.63              0.471804          1.411696            1.158196        0.218304
2021-05-17       1.64              0.574015          1.383726            1.065985        0.256274
2021-05-18       1.64              0.582199          1.230426            1.057801        0.409574
2021-05-19       1.68              0.466685          1.181835            1.213315        0.498165
2021-05-20       1.63              0.481496          1.198194            1.148504        0.431806
2021-05-21       1.63              0.539948          1.136179            1.090052        0.493821
2021-05-24       1.61              0.570812          1.107990            1.039188        0.502010
2021-05-25       1.56              0.600068          1.067836            0.959932        0.492164
2021-05-26       1.58              0.587178          1.125829            0.992822        0.454171
2021-05-27       1.61              0.626253          1.169673            0.983747        0.440327
2021-05-28       1.58              0.574506          1.133351            1.005494        0.446649
2021-06-01       1.62              0.572228          1.188059            1.047772        0.431941
2021-06-02       1.59              0.613617          1.130330            0.976383        0.459670
2021-06-03       1.63              0.636061          1.163939            0.993939        0.466061
2021-06-04       1.56              0.615132          1.204076            0.944868        0.355924
2021-06-07       1.57              0.651047          1.214369            0.918953        0.355631
2021-06-08       1.53              0.613621          1.282625            0.916379        0.247375
2021-06-09       1.50              0.601452          1.314246            0.898548        0.185754
2021-06-10       1.45              0.649604          1.360795            0.800396        0.089205
2021-06-11       1.47              0.642093          1.344689            0.827907        0.125311
2021-06-14       1.51              0.571110          1.447494            0.938890        0.062506
2021-06-15       1.51              0.668946          1.524591            0.841054        0.014591
2021-06-16       1.57              0.662715          1.639194            0.907285        0.069194
2021-06-17       1.52              0.613837          1.630322            0.906163        0.110322
2021-06-18       1.45              0.612342          1.647390            0.837658        0.197390
2021-06-21       1.50              0.608506          1.674073            0.891494        0.174073
2021-06-22       1.48              0.577157          1.752543            0.902843        0.272543
2021-06-23       1.50              0.575290          1.727771            0.924710        0.227771
2021-06-24       1.49              0.594752          1.788312            0.895248        0.298312
2021-06-25       1.54              0.720052          1.847129            0.819948        0.307129
2021-06-28       1.49              0.685503          1.898500            0.804497        0.408500
2021-06-29       1.49              0.736859          1.929533            0.753141        0.439533
2021-06-30       1.45              0.771862          1.909580            0.678138        0.459580
2021-07-01       1.48              0.749011          1.958726            0.730989        0.478726
2021-07-02       1.44              0.752683          1.896279            0.687317        0.456279
2021-07-06       1.37              0.634909          1.952483            0.735091        0.582483
2021-07-07       1.33              0.637144          1.995415            0.692856        0.665415
2021-07-08       1.30              0.588191          1.993020            0.711809        0.693020
2021-07-09       1.37              0.576543          1.960485            0.793457        0.590485
2021-07-12       1.38              0.497624          2.101473            0.882376        0.721473
2021-07-13       1.42              0.601646          2.176970            0.818354        0.756970
2021-07-14       1.37              0.680584          2.164517            0.689416        0.794517
2021-07-15       1.31              0.696609          2.172912            0.613391        0.862912
2021-07-16       1.31              0.745349          2.168674            0.564651        0.858674
2021-07-19       1.19              0.808273          2.207627            0.381727        1.017627
2021-07-20       1.23              0.804663          2.236536            0.425337        1.006536
2021-07-21       1.30              0.764891          2.292586            0.535109        0.992586
2021-07-22       1.27              0.708781          2.190025            0.561219        0.920025
2021-07-23       1.30              0.718861          2.235223            0.581139        0.935223
2021-07-26       1.29              0.753374          2.187185            0.536626        0.897185
2021-07-27       1.25              0.799292          2.080220            0.450708        0.830220
2021-07-28       1.26              0.827562          2.100622            0.432438        0.840622
2021-07-29       1.28              0.763462          2.106715            0.516538        0.826715
2021-07-30       1.24              0.679426          2.167519            0.560574        0.927519
2021-08-02       1.20              0.638733          2.166731            0.561267        0.966731
2021-08-03       1.19              0.645035          2.063069            0.544965        0.873069
2021-08-04       1.19              0.612694          2.063412            0.577306        0.873412
2021-08-05       1.23              0.614529          1.928147            0.615471        0.698147
2021-08-06       1.31              0.616906          1.944727            0.693094        0.634727
2021-08-09       1.33              0.625299          1.974834            0.704701        0.644834
2021-08-10       1.36              0.634279          2.007108            0.725721        0.647108
2021-08-11       1.35              0.604406          2.072387            0.745594        0.722387
2021-08-12       1.36              0.518783          2.129179            0.841217        0.769179
2021-08-13       1.29              0.606731          2.184666            0.683269        0.894666
2021-08-16       1.26              0.563276          2.112170            0.696724        0.852170
2021-08-17       1.26              0.451763          2.216622            0.808237        0.956622
2021-08-18       1.27              0.514595          2.083242            0.755405        0.813242
2021-08-19       1.24              0.560354          2.105501            0.679646        0.865501
2021-08-20       1.26              0.650043          2.075328            0.609957        0.815328
2021-08-23       1.25              0.631605          2.052735            0.618395        0.802735
2021-08-24       1.29              0.660924          2.044485            0.629076        0.754485
2021-08-25       1.35              0.759059          2.026453            0.590941        0.676453
2021-08-26       1.34              0.742199          2.009333            0.597801        0.669333
2021-08-27       1.31              0.697029          2.078083            0.612971        0.768083
2021-08-30       1.29              0.735526          2.129940            0.554474        0.839940
2021-08-31       1.30              0.734036          2.088787            0.565964        0.788787
2021-09-01       1.31              0.836957          2.171269            0.473043        0.861269
2021-09-02       1.29              0.885522          2.152584            0.404478        0.862584
2021-09-03       1.33              0.931862          2.136326            0.398138        0.806326
2021-09-07       1.38              0.906823          2.200244            0.473177        0.820244
2021-09-08       1.35              0.810639          2.262221            0.539361        0.912221
2021-09-09       1.30              0.808400          2.235729            0.491600        0.935729
2021-09-10       1.35              0.872705          2.238683            0.477295        0.888683
2021-09-13       1.33              0.791733          2.303552            0.538267        0.973552
2021-09-14       1.28              0.735326          2.335419            0.544674        1.055419
2021-09-15       1.31              0.713567          2.348650            0.596433        1.038650
2021-09-16       1.34              0.614690          2.345088            0.725310        1.005088
2021-09-17       1.37              0.575058          2.283835            0.794942        0.913835
2021-09-20       1.31              0.519436          2.226451            0.790564        0.916451
2021-09-21       1.33              0.531761          2.254252            0.798239        0.924252
2021-09-22       1.32              0.595157          2.360906            0.724843        1.040906
2021-09-23       1.41              0.563957          2.394407            0.846043        0.984407
2021-09-24       1.47              0.532817          2.508586            0.937183        1.038586
2021-09-27       1.48              0.560606          2.484220            0.919394        1.004220
2021-09-28       1.54              0.562392          2.489895            0.977608        0.949895
2021-09-29       1.55              0.568815          2.451261            0.981185        0.901261
2021-09-30       1.52              0.578902          2.431889            0.941098        0.911889
2021-10-01       1.48              0.549676          2.415216            0.930324        0.935216
2021-10-04       1.49              0.531510          2.368231            0.958490        0.878231
2021-10-05       1.54              0.499879          2.427805            1.040121        0.887805
2021-10-06       1.53              0.408514          2.389565            1.121486        0.859565
2021-10-07       1.58              0.350486          2.430500            1.229514        0.850500
2021-10-08       1.61              0.358121          2.429586            1.251879        0.819586
2021-10-12       1.59              0.396388          2.520867            1.193612        0.930867
2021-10-13       1.56              0.450524          2.468840            1.109476        0.908840
2021-10-14       1.52              0.426455          2.433342            1.093545        0.913342
2021-10-15       1.59              0.472470          2.488763            1.117530        0.898763
2021-10-18       1.59              0.484931          2.587264            1.105069        0.997264
2021-10-19       1.65              0.427109          2.673376            1.222891        1.023376
2021-10-20       1.65              0.412923          2.708412            1.237077        1.058412
2021-10-21       1.68              0.456227          2.636719            1.223773        0.956719
2021-10-22       1.66              0.388650          2.782199            1.271350        1.122199
2021-10-25       1.64              0.461752          2.733435            1.178248        1.093435
2021-10-26       1.63              0.375983          2.702982            1.254017        1.072982
2021-10-27       1.54              0.407339          2.721352            1.132661        1.181352
2021-10-28       1.57              0.402464          2.703666            1.167536        1.133666
2021-10-29       1.55              0.346268          2.729654            1.203732        1.179654
2021-11-01       1.58              0.279477          2.758514            1.300523        1.178514
2021-11-02       1.56              0.400429          2.731318            1.159571        1.171318
2021-11-03       1.60              0.430851          2.713143            1.169149        1.113143
2021-11-04       1.53              0.537716          2.663326            0.992284        1.133326
2021-11-05       1.45              0.428090          2.699108            1.021910        1.249108
2021-11-08       1.51              0.497781          2.671018            1.012219        1.161018
2021-11-09       1.46              0.520162          2.617805            0.939838        1.157805
2021-11-10       1.56              0.524345          2.597773            1.035655        1.037773
2021-11-12       1.58              0.482028          2.523775            1.097972        0.943775
2021-11-15       1.63              0.498088          2.537323            1.131912        0.907323
2021-11-16       1.63              0.608628          2.497385            1.021372        0.867385
2021-11-17       1.60              0.628899          2.507676            0.971101        0.907676
2021-11-18       1.59              0.621233          2.485657            0.968767        0.895657
2021-11-19       1.54              0.640259          2.344504            0.899741        0.804504
2021-11-22       1.63              0.583049          2.404832            1.046951        0.774832
2021-11-23       1.67              0.577862          2.485143            1.092138        0.815143
2021-11-24       1.64              0.691895          2.512024            0.948105        0.872024
2021-11-26       1.48              0.722677          2.472115            0.757323        0.992115
2021-11-29       1.52              0.788030          2.442779            0.731970        0.922779
2021-11-30       1.43              0.724936          2.418242            0.705064        0.988242
2021-12-01       1.43              0.753835          2.383648            0.676165        0.953648
2021-12-02       1.44              0.706562          2.434934            0.733438        0.994934
2021-12-03       1.35              0.774313          2.399277            0.575687        1.049277
2021-12-06       1.43              0.813081          2.323794            0.616919        0.893794
2021-12-07       1.48              0.841319          2.228800            0.638681        0.748800
2021-12-08       1.52              0.761179          2.178605            0.758821        0.658605
2021-12-09       1.49              0.864516          2.149621            0.625484        0.659621
2021-12-10       1.48              0.815982          2.127250            0.664018        0.647250
2021-12-13       1.42              0.859069          2.181272            0.560931        0.761272
2021-12-14       1.44              0.935665          2.110482            0.504335        0.670482
2021-12-15       1.47              1.075680          2.140556            0.394320        0.670556
2021-12-16       1.44              1.092320          2.110366            0.347680        0.670366
2021-12-17       1.41              1.067026          2.090285            0.342974        0.680285
2021-12-20       1.43              0.988073          2.123121            0.441927        0.693121
2021-12-21       1.48              0.995820          2.017459            0.484180        0.537459
2021-12-22       1.46              0.934148          1.964936            0.525852        0.504936
2021-12-23       1.50              0.866554          1.979265            0.633446        0.479265
2021-12-27       1.48              0.885835          1.991834            0.594165        0.511834
2021-12-28       1.49              0.878753          1.986699            0.611247        0.496699
2021-12-29       1.55              0.893659          2.106599            0.656341        0.556599
2021-12-30       1.52              0.902365          2.022367            0.617635        0.502367
2021-12-31       1.52              0.897800          2.051006            0.622200        0.531006
2022-01-03       1.63              0.950528          2.102100            0.679472        0.472100
2022-01-04       1.66              0.957297          2.096785            0.702703        0.436785
2022-01-05       1.71              0.929683          2.161717            0.780317        0.451717
2022-01-06       1.73              0.917152          2.102759            0.812848        0.372759
2022-01-07       1.76              0.988985          2.153040            0.771015        0.393040
2022-01-10       1.78              1.053605          2.147610            0.726395        0.367610
2022-01-11       1.75              1.039291          2.124286            0.710709        0.374286
2022-01-12       1.74              0.992440          2.127075            0.747560        0.387075
2022-01-13       1.70              0.972287          2.176121            0.727713        0.476121
2022-01-14       1.78              0.975742          2.200392            0.804258        0.420392
2022-01-18       1.87              0.891190          2.222791            0.978810        0.352791
2022-01-19       1.83              0.987429          2.156834            0.842571        0.326834
2022-01-20       1.83              1.021364          2.159891            0.808636        0.329891
2022-01-21       1.75              1.020360          2.171004            0.729640        0.421004
